#YYYYMMDD,hour,TDays,Precip_mm_Value,PressureSeaLevel,Temp,HumidityRelative,Clouds8th,WindDirection,WindSpeed_ms
*
19900101,7,0.291666667,0,1024.800049,-8.399999619,77,7,280,0.5
19900101,13,0.541666667,,1024.599976,-6.199999809,75,8,360,0.5
19900101,19,0.791666667,0,1023,-4.5,77,7,40,1
19900102,7,1.291666667,0,1022.5,-6.199999809,73,8,40,1.5
19900102,13,1.541666667,,1023.099976,-5.400000095,71,8,80,1.5
19900102,19,1.791666667,0,1024,-5.900000095,75,7,40,2.099999905
19900103,7,2.291666667,0,1027.599976,-7.900000095,77,7,60,3.099999905
19900103,13,2.541666667,,1029,-7.599999905,71,8,50,1.5
19900103,19,2.791666667,0,1027.900024,-7.099999905,77,8,50,1.5
19900104,7,3.291666667,0.3,1024,-3.400000095,93,8,0,0
19900104,13,3.541666667,,1022.200012,-1.299999952,95,8,260,1
19900104,19,3.791666667,1,1021.200012,-0.600000024,89,8,190,2.599999905
19900105,7,4.291666667,0,1020.799988,-1.200000048,95,8,220,1
19900105,13,4.541666667,,1020.799988,-0.800000012,93,8,240,2.099999905
19900105,19,4.791666667,0.1,1020.5,-0.400000006,85,7,240,1
19900106,7,5.291666667,0,1023.700012,-3.700000048,89,8,20,1.5
19900106,13,5.541666667,,1023.900024,-2.5,82,8,60,1.5
19900106,19,5.791666667,0.5,1021.900024,-0.400000006,97,9,320,0.5
19900107,7,6.291666667,6,1016.5,1.899999976,95,8,210,2.099999905
19900107,13,6.541666667,,1016.599976,2.299999952,94,8,240,1.5
19900107,19,6.791666667,0.5,1017.900024,0.899999976,97,9,190,1.5
19900108,7,7.291666667,0,1015.299988,3,92,7,240,2.099999905
19900108,13,7.541666667,,1016.400024,3.900000095,55,1,300,3.599999905
19900108,19,7.791666667,0,1020.200012,-0.100000001,78,3,70,1.5
19900109,7,8.291666667,0,1014.400024,2.299999952,77,3,210,3.599999905
19900109,13,8.541666667,,1010.200012,4.199999809,80,1,230,3.099999905
19900109,19,8.791666667,0,1013.599976,2.5,42,0,310,2.099999905
19900110,7,9.291666667,0,1015.099976,0,74,7,250,2.599999905
19900110,13,9.541666667,,1011.5,2.599999905,76,8,210,3.099999905
19900110,19,9.791666667,4,1001,2,95,8,30,1.5
19900111,7,10.29166667,0,1000.599976,1.799999952,92,4,160,1.5
19900111,13,10.54166667,,1004.299988,4.900000095,58,4,250,4.099999905
19900111,19,10.79166667,0,1010.599976,1.200000048,77,4,80,1
19900112,7,11.29166667,0,1011.299988,2.599999905,90,8,100,0.5
19900112,13,11.54166667,,1011.5,3,95,9,20,1
19900112,19,11.79166667,0,1010.700012,3.900000095,97,8,140,1.5
19900113,7,12.29166667,0,1008.200012,2.599999905,93,1,310,0.5
19900113,13,12.54166667,,1007.799988,2.099999905,70,2,240,1.5
19900113,19,12.79166667,0,1012.200012,0.100000001,76,1,0,0
19900114,7,13.29166667,0,1015.200012,1.100000024,75,1,40,1.5
19900114,13,13.54166667,,1014.5,0.100000001,81,7,200,1.5
19900114,19,13.79166667,0,1012.700012,1,90,8,220,0.5
19900115,7,14.29166667,1.6,995.0999756,4.199999809,88,8,200,8.699999809
19900115,13,14.54166667,,988.5999756,6.099999905,57,1,220,5.099999905
19900115,19,14.79166667,0.3,987.2000122,5.699999809,48,1,180,2.099999905
19900116,7,15.29166667,0,989.4000244,0.200000003,95,1,50,1.5
19900116,13,15.54166667,,996.2000122,3.599999905,66,1,250,2.599999905
19900116,19,15.79166667,0,1002.299988,3.299999952,51,1,0,0
19900117,7,16.29166667,2.5,986.2999878,4.300000191,84,1,200,2.099999905
19900117,13,16.54166667,,980.7999878,5.099999905,61,6,200,6.199999809
19900117,19,16.79166667,0,978.7999878,4.800000191,62,1,240,5.699999809
19900118,7,17.29166667,0,987.2999878,5.900000095,32,2,240,5.099999905
19900118,13,17.54166667,,994.5,5.300000191,36,7,30,0.5
19900118,19,17.79166667,0,1001.5,1.799999952,56,6,160,0.5
19900119,7,18.29166667,0,1009.299988,-1.600000024,72,2,40,1.5
19900119,13,18.54166667,,1004.799988,-0.600000024,70,8,50,1
